steam_appid,current_player_count
2567870,909
2519060,0
1063660,38
1049410,309
1046030,23
1040200,821
1029780,641
1007040,295
1002300,180
996580,152
985890,173
976730,6743
972660,695
967050,120
960990,218
953490,64
930210,106
927380,281
914620,64
913740,29
750920,618
22330,356
892970,19335
885970,751
880940,1458
872670,161
870780,604
861540,60
858810,295
1943950,1355
1929610,387
1928980,270
1888160,1104
1850570,1394
1846170,7
1473350,173
1462040,1145
1449690,563
1443200,46
367450,101
367520,23728
366090,99
362680,94
362890,477
362930,34
362960,50
362490,151
362620,147
360430,1087
359320,4273
354140,19
350080,263
344760,14
343780,58
341940,60
339800,177
337320,236
335300,1548
334230,112
333640,282
332800,70
332570,62
330020,140
322170,19471
313120,199
312530,219
311340,77
307690,870
304650,38
298630,43
294860,53
292730,183
292120,255
288470,159
287700,2055
287980,144
288160,56
287290,196
287390,222
287450,566
286690,456
282900,15
282140,172
278360,7
274190,194
273350,12
268130,23
266840,739
265550,126
264200,8
261030,53
257510,74
257850,38
256290,9
254700,696
253430,32
252610,148
251150,78
251570,21052
250260,15
250320,103
249130,432
248820,44
246900,185
244160,74
242680,84
242760,4698
242920,508
241600,35
240720,193
239350,52
238430,21
239030,262
237930,17
238010,115
238090,154
238320,322
236090,15
235460,225
234650,15
233720,9
233860,4672
234140,1031
233130,23
224480,18
222880,128
221910,13
221640,9
219640,28
219890,8
219150,515
214490,372
213610,217
212680,949
212480,31
211820,855
210970,115
209650,28
209080,1
209160,45
207610,155
207140,193
206190,1
206420,115
206440,54
204880,297
204300,74
203140,406
203160,911
202970,114
201810,832
201790,29
200710,230
200510,496
113200,166
108710,230
104900,4
105600,22716
107100,30
71250,104
71340,42
70400,19
57300,88
55150,141
48000,181
33230,336
48240,43
41700,74
40800,48
40970,403
39210,16499
39140,377
35450,45
35140,997
34900,7
33930,107
24240,48
22320,259
19900,54
2835570,947
2780980,985
1424330,86
1388770,50
1382330,160
1369630,217
1361320,35
1353230,113
1349230,29
1326470,10581
1151640,566
1150690,343
1147560,600
1127500,431
1118200,3709
1113560,191
1113000,951
1102190,497
1097840,345
1097150,649
1089980,152
1070710,3
552100,975
548570,33
528230,47
516750,676
509980,108
506610,34
503560,32
502520,488
501300,102
493520,711
359550,39532
481510,91
477160,952
1721470,604
1687950,6078
1686940,379
1674170,182
1659420,543
1643320,2414
1627720,1389
1604000,21
1599600,1432
1593500,2143
2378900,194
2369390,896
2334730,198
2321470,3425
1571440,25
1557740,808
1549970,196
702670,33
700600,111
692850,214
682990,57
681280,177
674020,46
657200,23
653530,856
648800,5270
646570,12855
644930,2448
638970,949
638230,61
636480,746
629820,65
622650,64
617830,24
616560,28
612880,586
611670,195
603850,316
601840,59
601430,118
597170,236
597220,53
589590,51
583950,35
578620,7
568220,2046
456750,72
447820,13
447530,67
447020,188
445220,500
437220,0
434570,11
433850,994
429050,149
427410,4302
425580,44
423230,40
422970,20
420530,77
414700,254
414340,60
413410,312
413420,345
413150,59336
409710,278
409720,128
406150,1
405640,13
403640,302
403190,153
402710,4
397950,31
397340,100
394510,153
393080,47
391540,1529
388090,55
386940,1293
386070,112
383150,202
236870,44
377840,259
376210,4777
373420,410
371660,1369
418030,284
1017180,336
1222690,441
799600,402
261640,435
49520,3693
655500,2481
2828860,340
2310,64
275850,15678
2537590,2190
774181,81
3146520,569
283640,74
2027330,154
629520,11010
230230,6
2365810,61
463530,408
858210,93
450540,260
881100,2840
1244090,150
2379780,9643
504230,1873
739630,22117
2933620,1
1888930,1139
2142790,1833
323190,1533
303210,6
341800,141
424030,534
894020,90
774801,817
1533390,640
728880,2632
2124490,799
2881650,906
692890,246
1325200,1520
387990,526
1164940,116
1182900,93
268650,331
2141730,874
2768430,1691
895870,128
1366800,35876
34030,918
1167630,1536
690830,746
1789480,13
326460,147
732430,18
553420,105
553850,34680
526870,13356
383120,938
1127400,436
629730,616
1363080,5132
410900,312
1337520,243
304430,386
1044720,1413
230290,325
1170950,355
505460,2628
2215430,8538
2358720,13751
2406770,224
2527500,492
1062520,1767
625960,1583
12200,188
3097560,1144
110800,237
1548850,80
3107330,73
496240,27
1845910,726
2075070,38
1262350,141
2670630,5007
1151340,8041
1203620,5097
669330,1259
1172620,3849
2479810,846
990080,13373
1158160,2906
238460,89
108600,23459
1371980,414
2679460,2211
2513280,155
1063730,27869
1061910,22
1062090,2274
1056960,89
1057090,757
1055540,45
1054490,559
1043810,53
1029690,2679
997010,219
979690,62
976310,2180
973230,54
969990,58
962730,80
961200,2189
955050,3
954740,51
954850,71
952060,453
939960,180
920210,591
882100,55
874260,49
861650,174
860510,609
859580,437
858820,120
851850,361
2878980,9064
285900,491
1938090,45865
469600,597
707030,27
703080,1877
394690,386
1957780,324
581320,1268
1778820,6874
686810,3262
585420,866
589290,456
1211020,960
1145350,33518
620980,386
962130,2977
1623730,24866
1171690,69
495420,1403
1190970,1891
346010,271
305620,2039
1341290,192
1677280,2127
1451190,531
1304930,3263
548430,5458
1716740,2972
1184370,2077
813780,18853
1066780,2944
2071280,1022
322330,25725
594650,10563
1818750,27
756800,195
427520,14165
518790,3610
271590,35875
204100,291
1404210,1687
12210,1725
1174180,34503
107410,6497
457140,7385
1874880,7820
1290000,3235
552520,1389
2694490,26906
945360,7190
1401590,3602
1128920,128
2183900,10879
633230,228
1144200,5829
960090,11026
1364780,21671
2221490,2002
1222670,21912
264710,2830
218620,22381
1812450,909
534380,3846
1659040,2449
2198150,254
440900,5083
1895880,163
1142710,19155
2515020,910
261550,19670
214950,3480
294100,26654
10500,1863
779340,6103
364360,256
34330,2026
325610,1292
2344520,14634
1817230,70
712100,220
594570,1353
1169040,11959
601150,1218
2050650,4874
805550,1491
753640,1023
239140,5242
1824220,1326
977950,1542
1336490,1416
1274570,2772
1030830,518
613100,1331
1551360,9238
314650,179
1455840,281
632360,11738
1657630,2296
252950,16593
1940340,856
916440,3874
387290,215
1088850,161
335670,22
949230,6182
1458140,532
1435790,689
936790,48
1210320,723
252490,78704
204360,926
1809540,818
924970,1590
899770,2113
926990,521
470220,328
65800,478
2669320,15020
573090,1415
451340,289
2280,208
1149620,354
814540,30
418460,360
701160,3716
975370,869
895400,270
1139980,639
1669000,2969
535930,446
270880,8662
227300,14931
1868140,3191
774171,707
371970,644
1601580,358
1086940,50806
431730,4284
1774580,1073
502500,599
8980,140
330830,36
532210,152
704850,220
17390,527
1150440,185
730,735810
374320,4293
377160,12645
379430,2371
379720,495
381210,51871
382310,579
383870,78
384190,13
383980,363
388880,7
311210,5707
389730,529
391220,2232
392160,2244
392110,401
393380,5723
394360,31170
397540,4475
400750,2513
427290,91
427730,91
428690,22
429660,74
431240,1838
431960,79135
433340,1636
435150,3408
445980,66
447040,1080
454650,597
569480,257
570940,2498
571740,416
573100,216
578080,162727
578650,295
582160,2998
582010,10777
582660,16228
584400,75
588650,1798
590380,233
609320,86
611790,106
613830,168
617290,543
621060,143
627270,512
629760,796
632470,1075
635260,1327
637090,1313
637650,547
640820,609
641320,157
641990,395
644560,55
645630,176
646910,972
648350,197
666140,512
667970,260
668580,629
671860,532
673130,6
673880,136
674140,55
675010,297
674940,301
704270,218
1544020,87
1556790,188
1562430,453
1569040,1079
2322010,2314
2338770,1572
2195250,2347
1583230,366
1621690,3354
1629520,709
1637320,359
1672970,332
1677770,44
1681430,276
1703340,87
476600,157
480490,233
482400,135
485510,423
488790,770
489940,1
489830,18251
492720,804
493490,166
493340,540
494840,464
498240,89
504370,52
508440,1379
512900,214
513710,11322
527430,182
527230,478
529340,7841
531510,113
536220,32
537800,74
541570,122
544750,193
546560,206
552500,2969
1096530,425
1082430,31
1084600,1263
1085510,9
1091500,28844
1092790,1212
517630,312
519860,45
521890,113
524220,760
1100600,638
1105670,211
1106840,302
1113120,438
1114150,769
1119730,468
1124300,401
1126320,181
1129580,1791
1135690,176
1139900,288
1145360,8254
1149460,6022
1158310,14567
1161580,287
1172380,476
1313140,2041
1313860,103
1318690,278
1328670,2191
1332010,478
1359090,79
1361510,99
1366540,4075
1384160,1897
1385380,745
1388880,83
1390350,18
1392820,11
1904540,2303
2291760,137
